Harekeli Kelime;Kelime;Anlam
"إِهْرَاقٌ";"اهراق";"Dökme, akıtma"
"أَهْرَامَاتٌ";"اهرامات";"Piramitler"
"اِهْرَبْ";"اَهرب";"Kaç, firar et"
"اِهْزَمْ";"اهزم";"Yen, mağlup et"
"أَهْضَمُ";"اهضم";"Daha sindirilebilir, en sindirilebilir"
"اِهْضِمْ";"اِهْضِمْ";"Sindirim, hazmetmek, sindir"
"أَهْلٌ";"اهل";"Aile, halk, sahip, ehil"
"أُهِلَّ";"اهل";"Hilale bakıldı, hilal görüldü, ses yükseltildi, bağırıldı, kurban kesilirken besmele çekildi"
"أَهْلاً";"اَهلاً";"Hoş geldin, merhaba"
"أَهْلًا وَ سَهْلًا";"اهلا و سهلا";"Hoş geldin, hoş geldiniz"
"أَهْلًا وَسَهْلًا";"اَهْلًا وسهلا";"Hoş geldin, merhaba"
"أَهْلَكَنِي";"اهلكني";"Beni helak etti, beni yok etti"
"أَهْلِهِمْ";"اَهْلِهِم";"Onların ailesi, onların ehli"
"أَهْلِي";"اهلي";"Ailem, benim ailem"
"أَهَمِّ";"اَهَمِّ";"Daha önemli, en önemli"
"إِهْمَالٌ";"اهمال";"İhmal etme, savsaklama, önemsememe"
"أُهْمِلَ";"اُهمل";"İhmal edildi, savsaklandı"
"أُهْمِلُ";"اُهْمِلُ";"İhmal ediyorum, savsaklıyorum"
"أَهَمِّيَّةٌ";"اهمية";"Önem, ehemmiyet"
"أَهْوَالٌ";"اهوال";"Dehşetler, korkunç olaylar, felaketler"
"أَهْوَنُ";"اهون";"Daha kolay, en kolay"
"أَوَائِلُ";"اوائل";"İlkler, başlangıçlar"
"أَوَّابٌ";"اوّابٌ";"Allah'a çokça dönen, tövbe eden, itaat eden"
"أَوَابِدُ";"اوابد";"Harikalar, şaşırtıcı şeyler, kalıntılar, anıtlar"
"أُوَافِقُكَ";"اوافقك";"Sana katılıyorum, seninle aynı fikirdeyim"
"أَوَانٍ";"اوَانٍ";"Kaplar, kap kacaklar"
"أَوَانِيَّةٌ";"اوانية";"Kap kacak, mutfak eşyası"
"أَوْتَادٌ";"اوتاد";"Kazıklar, direkler, destekler"
"أُوثِرُ";"اوثر";"Tercih ediyorum, yeğliyorum"
"أَوْجَاعٌ";"اوجاع";"Acılar, ağrılar"
"أَوْجَسَ";"اوجس";"İçine korku düştü, endişelendi, hissetti"
"أَوْجُهٌ";"اوجه";"Yüzler, veçheler, yönler"
"أَوْحَشَنِي";"اوحشني";"Beni özletti, beni yalnız bıraktı, beni hüzünlendirdi"
"أَوْرَادٌ";"اوراد";"Virdler, zikirler, dualar"
"أَوْرَاقَهُ";"اَوْراقَه";"Onun yaprakları, onun kağıtları"
"أَوْرَامٌ";"اَوْرَام";"Tümörler, şişlikler"
"أُورُوبِّيٌّ";"اوربي";"Avrupalı"
"أَوْرَثَ";"اَوْرَثْ";"Miras bıraktı, mirasçı kıldı"
"اِوْرِثْ";"اِوْرِثْ";"Miras bırak, mirasçı yap"
"أَوْرَدَ";"اورد";"Getirmek, nakletmek, bahsetmek, ithal etmek"
"أَوْزَانٌ";"اوزان";"Ağırlıklar, vezinler, ölçüler"
"أَوْزَعَ";"اوزع";"İlham etti, sevk etti, teşvik etti"
"أَوْسَاخٌ";"اوساخ";"Kirler, pislikler, çöpler"
"أَوْسَطُ";"اوسط";"Orta, en orta, vasat"
"أَوْسَطُهُمْ";"اوسطهم";"Onların en ortancası, onların ortası"
"أَوْسَعَ";"اوسع";"Genişletti, yaydı"
"أَوْشَكَ";"اوشك";"Neredeyse yapmak, az kalsın yapmak"
"أَوْصَافٌ";"اوصاف";"Nitelikler, vasıflar, tanımlar"
"أَوْصَانِي";"اوصاني";"Bana tavsiye etti, bana vasiyet etti"
"أَوْصَاهَا";"اَوْصاها";"Ona vasiyet etti, ona tavsiye etti"
"أَوْصَدَ";"اوصد";"Kapattı, kilitledi"
"أَوْصَلَ";"اوصل";"Ulaştırdı, eriştirdi, bağladı"
"أُوصِي";"اوصي";"Tavsiye ediyorum, vasiyet ediyorum"
"أُوصِيكَ";"اوصيك";"Sana tavsiye ederim, sana vasiyet ederim"
"أَوْضَاعٌ";"اوضاع";"Durumlar, koşullar, vaziyetler"
"أَوْضَحَ";"اوضح";"açıkladı, izah etti, netleştirdi"
"أَوْضَعَ";"اوضع";"Koydu, yerleştirdi, alçalttı"
"أَوْطَأَ";"اوطأ";"Ayak bastı, çiğnedi, alçalttı"
"أُوَظِّفُ";"اوظف";"İşe alıyorum, görevlendiriyorum"
"أَوْعَدَ";"اوعد";"Söz verdi, vaat etti"
"اِوْعَ";"اوعى";"Sakın, dikkat et, uyanık ol"
"أَوْفَدَ";"اوفد";"Gönderdi, yolladı, delege etti"
"أَوْفَرُ";"اوفر";"Daha bol, daha çok, en bol, en çok"
"أَوْفُوا";"اوفوا";"Yerine getirin, tamamlayın, vefa gösterin"
"أَوْفَى";"اوفى";"Yerine getirdi, tamamladı, sadık kaldı"
"أَوْقَافٌ";"اوقاف";"Vakıflar, vakfedilmiş mallar"
"أَوْقَدَتْ";"اوقدت";"Tutuşturdu, yaktı"
"أَوْقَفَتْ";"اوقفت";"Durdurdu, alıkoydu"
"أَوْقِفُوا";"اوقفو";"Durdurun, kesin"
"أَوَّلُ";"اول";"İlk, birinci, başlangıç"
"أَوَّلِ";"اوَّلِ";"İlk, birinci"
"أَوَّلُ أَمْسِ";"اوّل اَمْس";"Evvelsi gün"
"أُولَٰئِكَ";"اولءك";"Şunlar, onlar"
"أَوْلَادٌ";"اولاد";"Çocuklar, evlatlar"
"أَوْلَادَ";"اَوْلاَدَ";"Çocuklar, evlatlar"
"أَوْلَادُهُ";"اولاده";"Onun çocukları"
"أَوْلَادَهَا";"اَوْلاَدَهَا";"Onun çocukları, evlatları"
"أَوْلَدَ";"اَوْلَدَ";"Doğurttu, çocuk sahibi yaptı"
"أُوَلِّفُ";"اُوَلِّفُ";"Uyum sağlıyorum, birleştiriyorum, telif ediyorum"
"أُولِمْبِيَّةٌ";"اولمبية";"Olimpiyat, Olimpik"
"أَوْلَوِيَّاتٌ";"اولويات";"Öncelikler"
"أَوْلَوِيَّةٌ";"اولوية";"Öncelik, öncelikli olma"
"أُولَى";"اُولى";"İlk, birinci"
"أَوْلِيَاءُ";"اَوْلِيَا";"Veliler, dostlar, evliyalar"
"أَوَّلِيَّةٌ";"اولية";"Öncelik, ilkellik"
"أُومِنُ";"اُوْمِنُ";"İnanıyorum, iman ediyorum"
"أَوْهَامٌ";"اوهام";"Vehimler, kuruntular, hayaller"
"أَوْهَنَ";"اوهن";"Zayıflattı, güçsüzleştirdi"
"آوَى";"اوى";"Barındırmak, sığınak vermek, yerleştirmek"
"أُؤَيِّدُهَا";"اويِّدها";"Onu destekliyorum"
"أَيَّ";"اَيَّ";"Hangi, hangi şey, her ne"
"أَيُّ";"اَيُّ";"Hangi, herhangi bir, hangi şey"
"أَيْ";"ايْ";"Yani, demektir ki, ey"
"أَيُّ خِدْمَةٍ";"اي خدمة";"Ne hizmeti, nasıl yardımcı olabilirim"
"إِيَابًا";"ايابا";"Dönüş, geri dönüş"
"أَيَادٍ";"ايادي";"Eller, nimetler, iyilikler"
"أَيَادِي";"ايادي";"Eller, nimetler, iyilikler"
"أَيَادِيهِمْ";"اياديهم";"Elleri"
"إِيَّاكُمْ";"اياكم";"Sakının, dikkat edin, sizden uzak olsun"
"أَيَّامٌ";"ايام";"Günler"
"أَيَّامًا";"اياما";"Günler"
"ائْتَمَنَ";"ايتأمن";"Emanet etti, güvendi"
"إِيتَاءٌ";"ايتاء";"Verme, bahşetme, getirme"
"اِيتَمَرَ";"ايتَمَرَ";"Danıştı, istişare etti"
"إِيجَابِيَّةٌ";"اِيجابيّة";"Pozitiflik, olumluluk"
"أَيُحِبُّ";"ايحب";"Seviyor mu, sever mi"
"أَيَّدَ";"ايد";"Destekledi, onayladı, tasdik etti"
"إِيدَاعٌ";"ايداع";"yatırma, tevdi etme, depozito"
"أَيْدِيكُمْ";"ايديكم";"Elleriniz"
"أَيْدِينَا";"ايدينا";"Ellerimiz"
"أَيْدِيهِمْ";"ايديهم";"Elleri, onların elleri"
"إِيذَاءٌ";"ايذاء";"Eziyet etme, zarar verme, incitme"
"إِيذَانٌ";"ايذان";"Bildirme, haber verme, izin verme"
"إِيرَاثٌ";"ايراث";"Miras bırakma, mirasçı kılma"
"إِيسَارٌ";"ايسار";"Sol taraf, sol"
"أَيَسُرُّ";"ايسرّ";"Sevindiriyor, memnun ediyor"
"إِيسِر";"اِيْسِر";"Kolaylaştırdı, kolaylaştırmak"
"أَيْشٍ";"ايش";"Ne, ney"
"أَيْضاً";"اَيْضاً";"Ayrıca, dahi, de"
"أَيْضًا";"ايضا";"Ayrıca, de, da, yine, keza"
"إِيقَاظٌ";"ايقاظ";"Uyandırma, ikaz etme"
"إِيقَاعٌ";"ايقاع";"Ritim, tempo, ahenk"
"إِيقَاعٍ";"اِيقاعِ";"Ritim, tempo, ahenk"
"إِيقَانٌ";"ايقان";"Kesin olarak bilme, inanma, şüphe etmeme"
"أَيْقَظَ";"ايقظ";"Uyandırmak"
"أَيْقَظُ";"اَيْقَظُ";"Uyandırır, uyandırıyorum"
"أَيْقِظُوا";"ايقظوا";"Uyandırın"
"أَيْقَنَ";"ايقن";"İnandı, kesin olarak bildi, emin oldu"
"أَيْقَنْتُ";"ايقنت";"İnandım, kesin olarak bildim"
"أَيْقَنُوا";"ايقنو";"İnandılar, kesin olarak bildiler"
"أَيُّكُمْ";"ايّكم";"Hanginiz, sizden hangisi"
"إِيلَاجٌ";"ايلاج";"Sokma, içeri alma, dahil etme"
"أَيِّمٌ";"ايّم";"Dul, evlenmemiş kimse"
"إِيمَاءَةٌ";"ايماءة";"İşaret, ima, jest"
"أَيْمَانِكُمْ";"اَيْمَانِكُمْ";"Yeminleriniz, sağ elleriniz"
"إِيمَانُهُمْ";"ايمانهم";"Onların imanı, onların inanışı"
"أَيَّنَ";"اَيَّنَ";"Belirledi, tayin etti, nerede olduğunu sordu"
"أَيْنَعَ";"اينع";"Olgunlaştı, meyve verdi"
"أَيْهٍ";"ايه";"Evet, peki, ne"
"أَيُّهَا";"اَيُّهَا";"Ey, ey... (hitap edatıdır)"
"إِيهَامٌ";"ايهام";"İham, vehmetme, kuruntuya düşürme, şüpheye düşürme"
"أَيُّهُمَا";"ايهما";"Hangisi, ikisinden hangisi"
"أَيْوَ";"اَيْوَ";"Evet, evet öyle"
"أَيُّوبُ";"ايوب";"Eyüp"
"أَيَوَدُّ";"اَيَوَدُّ";"Seviyor, istiyor, arzu ediyor"
"بِ";"ب";"İle, vasıtasıyla, içinde, -e, -de, -den, hakkında, üzerine, için, karşılığında"
"بَئِسَ";"بَءِسَ";"Üzüldü, kederlendi, umutsuzluğa kapıldı"
"بِآلَامٍ";"بآلام";"Acılarla, ağrılarla"
"بِأَحَدٍ";"بأحد";"Birine, birisiyle, birinde"
"بِأَذْكَارٍ";"بأَذكار";"Zikirlerle, anmalarla"
"بِإِذْنِكَ";"بأذنك";"İzninle, senin izninle"
"بِأَرْكَانٍ";"بأركان";"Sütunlarla, direklerle, rükünlerle"
"بَأْسٌ";"بأس";"Güç, kuvvet, cesaret, şiddet, zarar, korku"
"بَأْسَاءُ";"بأساء";"Sıkıntı, zorluk, felaket, yoksulluk"
"بِأَسْرَعِ وَقْتٍ";"بأسرع وقت";"En kısa zamanda, mümkün olan en kısa sürede"
"بِأَسْرَعِ وَقْتٍ مُمْكِنٍ";"بأسرع وقتٍ ممكنٍ";"Mümkün olan en kısa sürede"
"بَأْسُنَا";"بأسنا";"Kuvvetimiz, şiddetimiz, azabımız"
"بِأَفْضَلَ";"بأفضل";"En iyi şekilde, en iyi ile"
"بِأَنَّ";"بأن";"Çünkü, -dığı için, -mesiyle"
"بِأَنْ";"بِأَنْ";"İle, vasıtasıyla, -mesiyle, -dığı için"
"بِأَنْفُسِهِمْ";"بأنفسهم";"Kendi kendilerine, bizzat kendileri"
"بِأَنَّهُ";"بأنَّه";"Çünkü o, -dığı için"
"بِأَيَّامٍ";"بأيام";"Günlerde, bazı günlerde"
"بُؤْبُؤٌ";"بؤبؤ";"Gözbebeği"
"بُؤْرَةٌ";"بؤرة";"Odak, merkez, yuva"
"بُؤْسًا";"بؤسا";"Sefillik, yoksulluk, perişanlık"
"بِإِذْنِ اللَّهِ";"بإذن الله";"Allah'ın izniyle"
"بِإِشْرَافٍ";"بإشراف";"Denetim altında, gözetiminde"
"بِإِمْكَانِ";"بإمكان";"Mümkün, -ebilmek, -abilmek"
"بِإِنْجَاءٍ";"بإنجاء";"Kurtarma ile, kurtararak"
"بِئْرٌ";"بئر";"Kuyu"
"بِئْرًا";"بئرا";"Kuyu"
"بِئْسَ";"بئس";"Ne kötü!, Kötü oldu, Kötüledi"
"بَا";"با";"İle, vasıtasıyla, -de, -da, -e, -a"
"بَاءَ";"باء";"Döndü, geri geldi, yüklendi, üstlendi"
"بَاءَةٌ";"باءة";"Evlenme gücü, evlilik masraflarını karşılama gücü"
"بَاءَتْ";"باءت";"Döndü, geri geldi, sonuçlandı"
"بَائِعٌ";"باءع";"Satıcı"
"بَائِعِينَ";"بَاءِعِينَ";"Satanlar, satıcılar"
"بَاءَهُ";"باءه";"Döndü, geri geldi"
"بَائتٌ";"بائت";"Geçmiş, eski, bayatlamış"
"بَائَتْ";"بائت";"Geçti, sona erdi, başarısız oldu"
"بَائِدٌ";"بائد";"Yok olan, tükenen, ölen, geçmiş"
"بَائِسٌ";"بائس";"Perişan, sefil, mutsuz"
"بَائِسَةٌ";"بائسة";"Perişan, sefil, mutsuz"
"بَائِعُ الْفَاكِهَةِ";"بائع الفاكهة";"Meyve satıcısı"
"بَائِعُ خَضْرَوَاتٍ";"بائع خضروات";"Manav, sebze satıcısı"
"بَائِعٌ مُتَجَوِّلٌ";"بائع متجول";"Seyyar satıcı, mahalle satıcısı"
"بِالْإِطْعَامِ";"بِااطعَامِ";"Yedirme, besleme ile"
"بِالضَّادِ";"باالضّاد";"Dad harfi ile, Dad harfi sayesinde"
"بَابٌ";"باب";"Kapı"
"بَابٍ";"بَابِ";"Kapı"
"بَابَ";"بَابَ";"Kapı açtı"
"بَابُ";"باب";"Kapı"
"بَابُ حِطَّةٍ";"بَاب حطة";"Hıtta Kapısı"
"بَابًا";"بَابًا";"Kapı"
"بَابَا";"بابا";"Baba, peder"
"بَابَانِ";"بابان";"İki kapı"
"بِابْتِسَامَةٍ";"بِابْتِسَامَةٍ";"Gülümseyerek, bir gülümsemeyle"
"بَابَغَاءٌ";"بابغاء";"papağan"
"بَابِلُ";"بابل";"Babil"
"بَابُونَجٌ";"بابونج";"Papatya, bir bitki türü"
"بَاتَ";"بات";"Gecelemek, kalmak, olmak"
"بَاتَتْ";"باتت";"Oldu, haline geldi, geçirdi"
"بِاتِّفَاقٍ";"باتفاق";"Anlaşarak, oybirliğiyle"
"بِإِتْقَانِهَا";"باتقانها";"Onu ustalıkla, onu mükemmel bir şekilde"
"بَاتُوا";"باتوا";"Gecelediler, oldular, kaldılar"
"بَاحَةٌ";"باحة";"Avlu, meydan, alan"
"بَاحِثٌ";"باحث";"Araştırmacı, araştırmacı kişi"
"بَاحِثَةٌ";"باحثة";"Araştırmacı (kadın), araştırmacı"
"بِإِحْسَانٍ";"بِاِحْسَانٍ";"İyilikle, güzellikle, ihsanla"
"بِاخْتِصَارٍ";"باختصار";"Kısaca, özetle"
"بِاخْتِفَاءٍ";"باختفاء";"Kaybolma ile, gizlice"
"بَاخِرَةٌ";"باخرة";"Gemi, vapur"
"بَاخِعٌ";"بَاخِع";"Kendini helak eden, kendini tüketen, kendini mahveden"
"بِإِخْلَاصٍ";"باخلاص";"İhlasla, samimiyetle"
"بَادَ";"باد";"Yok oldu, helak oldu, ortaya çıktı, göründü"
"بِأَدَبٍ";"بِاَدِبٍ";"Edepli bir şekilde, saygıyla"
"بَادَرَ";"بادر";"Başlamak, girişmek, acele etmek"
"بَادِي";"بادي";"Açık, aşikar, görünen"
"بَادِيَةٌ";"بادية";"Çöl, bozkır, kırsal alan"
"بَاذَرَ";"باذر";"Tohum ekti, tohum saçtı"
"بَاذِلٌ";"باذل";"Harcayan, veren, cömert"
"بَاذِنْجَانٌ";"باذنجان";"Patlıcan"
"بَارَ";"بار";"Kutsadı, mübarek kıldı"
"بَارٌّ";"بارٌّ";"İyiliksever, itaatkâr, salih"
"بَارِئٌ";"بارئ";"Yaratan, yoktan var eden"
"بَارِئِكُمْ";"بارئكم";"Sizin yaratıcınız"
"بَارًّا";"بارًّا";"İyilik eden, itaat eden, hayırsever"
"بِارْتِفَاعٍ";"بارتفاع";"Yükselişle, artışla"
"بَارِحٌ";"بارح";"Dün, geçen gün"
"بَارِحَةٌ";"بارحة";"Dün gece, geçen gece"
"بَارِدٌ";"بارد";"Soğuk, serin"
"بَارِدًا";"باردا";"Soğuk olarak, soğuk bir şekilde"
"بَارِدَاتٌ";"باردات";"Soğuk olanlar, soğuk şeyler"
"بَارِدَةٌ";"باردة";"Soğuk"
"بَارِرٌ";"بارِرٌ";"İyilik yapan, hayır işleyen, itaat eden"
"بَارِزٌ";"بارز";"Belirgin, göze çarpan, açık"
"بَارِعٌ";"بارع";"Yetenekli, usta, becerikli"
"بَارَكَ";"بارك";"Mübarek kıldı, bereket verdi, kutladı"
"بُورِكَ";"بارك";"Kutsandı, mübarek kılındı"
"بَارَكَ اللَّهُ فِيكَ";"بارك الله فيك";"Allah seni mübarek kılsın, Allah razı olsun"
"بَارَكَ اللَّهُ فِيكُمْ";"بارك الله فيكم";"Allah sizi mübarek kılsın, Allah razı olsun"
"بَارَكَ فِي";"بارك في";"Kutsadı, mübarek kıldı, bereket verdi"
"بَارَى";"بارى";"Yarıştı, rekabet etti"
"بَارِيسُ";"باريس";"Paris"
"بَازٌ";"باز";"Şahin, doğan"
"بَازَ";"باز";"Döndü, geri geldi"
"بِإِزَاءِ";"بازاء";"Karşısında, önünde, hizasında"
"بِإِزَالَةٍ";"بازالة";"Kaldırma, giderme, çıkarma"
"بِازْدِيَادٍ";"بازدياد";"Artarak, artışla"
"بَازِغَةٌ";"بازغا";"Doğan, yükselen, parlayan"
"بَازِلَاءُ";"بازِلاَّء";"Bezelye"
"بَازِلَّاءُ";"بازلاء";"Bezelye"
"بَازِي";"بازي";"Şahin, doğan"
"بَاسَ";"باس";"Öptü"
"بِاسْتِخْدَامِ";"باستخدام";"Kullanarak, vasıtasıyla"
"بِاسْتِعْمَالٍ";"باستعمال";"Kullanarak, kullanma ile"
"بِاسْتِمْرَارٍ";"باستمرار";"Sürekli, devamlı"
"بِاسْتِهْزَاءٍ";"باستهزاء";"Alay ederek, alaylı bir şekilde"
"بَاسِطٌ";"باسط";"Yayan, seren, genişleten"
"بَاسِقَاتٌ";"باسقات";"Yüksek, uzun boylu olanlar"
"بِاسْمِ";"باسم";"Adıyla, ismiyle"
"بَاسِمَةٌ";"باسمة";"Gülümseyen, gülen"
"بِأَسْنَانِهِ";"بِاَسْنَانِه";"Dişleriyle"
"بَاشَا";"باشا";"Paşa"
"بَاشَرَ";"بَاشَر";"Başladı, girişti, doğrudan yaptı"
"بَاشِرْ";"باشر";"Başla, giriş, doğrudan yap"
"بَاشَرَتْ";"باشرت";"Başladı, girişti"
"بَاصٌ";"باص";"Otobüs"
"بَاضَ";"باض";"Yumurta bıraktı, yumurtladı"
"بَاطِئٌ";"باطء";"Yavaş, ağır"
"بِإِطْعَامٍ";"باطعام";"Yedirme, besleme ile"
"بَاطِلٌ";"باطل";"Geçersiz, hükümsüz, boş"
"بَاطِنٌ";"باطن";"İç, gizli, görünmeyen"
"بَاطِنَةٌ";"باطنة";"İç, içsel, gizli, batıni"
"بَاعَ";"باع";"satdı, sattı"
"بَاعَةٌ";"باعة";"Satıcılar, satıcı"
"بَاعَتْ";"باعت";"sattı"
"بِاعْتِبَارِ";"باعتبار";"Dikkate alarak, göz önünde bulundurarak, itibarıyla"
"بِاعْتِدَالٍ";"باعتدال";"Ilımlı olarak, ölçülü bir şekilde"
"بَاعِثٌ";"باعث";"Gönderen, sebep olan, uyandıran"
"بَاعِثًا";"باعثا";"Gönderen, yollayan, sebep olan"
"بَاعَدَ";"باعد";"Uzaklaştırdı, ayırdı"
"بَاعَهُ";"باعه";"sattı"
"بِأَعْيُنِنَا";"باعيننا";"Gözlerimizin önünde, gözetimimizde"
"بَاغٍ";"باغ";"İsyancı, asi, haksızlık eden"
"بَاغِي";"باغي";"İsyancı, asi, haksızlık eden"
"بَاغِيٌ";"بَاغِيٌ";"İsteyen, arayan, zulmeden"
"بِإِقْدَامٍ";"باقدام";"Cesaretle, atılganlıkla"
"بَاقٍ";"باقي";"Kalan, geri kalan, baki"
"بَاقِي";"باقي";"Kalan, geri kalan, baki"
"بَاقِيًا";"باقيا";"Kalan, bakiye, geriye kalan"
"بَاقِيَةٌ";"باقية";"Kalan, bakiye, geriye kalan"
"بَاكٍ";"باكٍ";"Ağlayan"
"بَاكِرًا";"باكرا";"Erken, sabahleyin"
"بَاكِرَةٌ";"باكرة";"Erken, sabahın erken saatlerinde olan"
"بَاكِسْتَانِيٌّ";"باكستاني";"Pakistanlı"
"بَاكِسْتَانِيَّةٌ";"باكِسْتَانِيَّةٌ";"Pakistanlı kadın"
"بَاكِيَةٌ";"باكية";"Ağlayan kadın, ağlayıcı"
"بَالٌ";"بال";"Akıl, zihin, gönül, durum, hal"
"بَالَ";"بَالَ";"İdrarını yaptı, işedi"
"يَقْطِينٌ";"بال كباغي";"Kabak, balkabağı"
"بِالْآدَابِ";"بالآداب";"Edeplerle, görgü kurallarıyla"
"بِالْأُذُنِ";"بالأذن";"Kulakla, kulağa"
"بِالْأَوَّلِ";"بالأول";"İlk olarak, başlangıçta"
"بِالْإِضَافَةِ";"بالإضافة";"Ek olarak, ilaveten"
"بِالْإِضَافَةِ إِلَى";"بالإضافة إلى";"Ek olarak, ilaveten, buna ek olarak"
